Trade,Amount,Gain
97,68267.92,1338.59
98,69633.28,1365.36
99,71025.94,1392.67
100,72446.46,1420.52
101,73895.39,1448.93
102,75373.30,1477.91
103,76880.76,1507.47
104,78418.38,1537.62
105,79986.75,1568.37
106,81586.48,1599.73
107,83218.21,1631.73
108,84882.58,1664.36
109,86580.23,1697.65
110,88311.83,1731.60
111,90078.07,1766.24
112,91879.63,1801.56
113,93717.22,1837.59
114,95591.57,1874.34
115,97503.40,1911.83
116,99453.47,1950.07
117,101442.54,1989.07
